politica,parametro,valor,n_total,n_accepted,n_abstained,coverage,abstention_rate,accuracy_accepted,error_accepted,f1_macro_accepted,recall_macro_accepted,precision_macro_accepted,cenario_calibracao
probabilidade_maxima,tau,0.5,247,247,0,1.0,0.0,0.9838056680161943,0.01619433198380571,0.8690122637295997,0.8828828828828829,0.8577441077441077,isotonica
probabilidade_maxima,tau,0.55,247,246,1,0.9959514170040485,0.004048582995951417,0.9878048780487805,0.012195121951219523,0.8753646561301652,0.8858024691358025,0.867003367003367,isotonica
probabilidade_maxima,tau,0.6,247,246,1,0.9959514170040485,0.004048582995951417,0.9878048780487805,0.012195121951219523,0.8753646561301652,0.8858024691358025,0.867003367003367,isotonica
probabilidade_maxima,tau,0.65,247,245,2,0.9919028340080972,0.008097165991902834,0.9918367346938776,0.008163265306122436,0.8777777777777778,0.8888888888888888,0.8686868686868687,isotonica
probabilidade_maxima,tau,0.7,247,244,3,0.9878542510121457,0.012145748987854251,0.9918032786885246,0.008196721311475419,0.8777777777777778,0.8888888888888888,0.8686868686868687,isotonica
probabilidade_maxima,tau,0.75,247,244,3,0.9878542510121457,0.012145748987854251,0.9918032786885246,0.008196721311475419,0.8777777777777778,0.8888888888888888,0.8686868686868687,isotonica
probabilidade_maxima,tau,0.8,247,241,6,0.9757085020242915,0.024291497975708502,0.995850622406639,0.004149377593360981,0.8830409356725146,0.8888888888888888,0.8777777777777778,isotonica
probabilidade_maxima,tau,0.85,247,239,8,0.9676113360323887,0.032388663967611336,0.99581589958159,0.004184100418409997,0.8823529411764706,0.8888888888888888,0.8765432098765432,isotonica
probabilidade_maxima,tau,0.9,247,237,10,0.9595141700404858,0.04048582995951417,1.0,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,isotonica
probabilidade_maxima,tau,0.95,247,226,21,0.9149797570850202,0.08502024291497975,1.0,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,isotonica
margem_top1_top2,delta,0.0,247,247,0,1.0,0.0,0.9838056680161943,0.01619433198380571,0.8690122637295997,0.8828828828828829,0.8577441077441077,isotonica
margem_top1_top2,delta,0.05,247,247,0,1.0,0.0,0.9838056680161943,0.01619433198380571,0.8690122637295997,0.8828828828828829,0.8577441077441077,isotonica
margem_top1_top2,delta,0.1,247,246,1,0.9959514170040485,0.004048582995951417,0.9878048780487805,0.012195121951219523,0.8753646561301652,0.8858024691358025,0.867003367003367,isotonica
margem_top1_top2,delta,0.15,247,246,1,0.9959514170040485,0.004048582995951417,0.9878048780487805,0.012195121951219523,0.8753646561301652,0.8858024691358025,0.867003367003367,isotonica
margem_top1_top2,delta,0.2,247,246,1,0.9959514170040485,0.004048582995951417,0.9878048780487805,0.012195121951219523,0.8753646561301652,0.8858024691358025,0.867003367003367,isotonica
margem_top1_top2,delta,0.25,247,246,1,0.9959514170040485,0.004048582995951417,0.9878048780487805,0.012195121951219523,0.8753646561301652,0.8858024691358025,0.867003367003367,isotonica
margem_top1_top2,delta,0.3,247,245,2,0.9919028340080972,0.008097165991902834,0.9918367346938776,0.008163265306122436,0.8777777777777778,0.8888888888888888,0.8686868686868687,isotonica
margem_top1_top2,delta,0.35,247,245,2,0.9919028340080972,0.008097165991902834,0.9918367346938776,0.008163265306122436,0.8777777777777778,0.8888888888888888,0.8686868686868687,isotonica
margem_top1_top2,delta,0.4,247,244,3,0.9878542510121457,0.012145748987854251,0.9918032786885246,0.008196721311475419,0.8777777777777778,0.8888888888888888,0.8686868686868687,isotonica
margem_top1_top2,delta,0.45,247,244,3,0.9878542510121457,0.012145748987854251,0.9918032786885246,0.008196721311475419,0.8777777777777778,0.8888888888888888,0.8686868686868687,isotonica
margem_top1_top2,delta,0.5,247,244,3,0.9878542510121457,0.012145748987854251,0.9918032786885246,0.008196721311475419,0.8777777777777778,0.8888888888888888,0.8686868686868687,isotonica
